Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,percent
ATI Radeon 9100 PCI,GPU,2003-04-01,150.0,,120.0,60.0,250.0,TSMC,ATI,,,
ATI Mobility Radeon HD 2300,GPU,2007-03-01,80.0,,100.0,107.0,480.0,TSMC,ATI,,,
ATI Mobility Radeon HD 5430,GPU,2010-01-07,40.0,7.0,59.0,292.0,500.0,TSMC,ATI,,80.0,
AMD Radeon E6465,GPU,2015-09-29,40.0,25.0,67.0,370.0,600.0,TSMC,AMD,,192.0,
ATI Radeon Xpress 1270 Mobile IGP,GPU,2007-02-28,80.0,,73.0,120.0,400.0,Unknown,ATI,,,
ATI Radeon HD 3870 AGP,GPU,,55.0,106.0,192.0,666.0,777.0,TSMC,ATI,,497.3,99.46
Sony Playstation Portable GPU 90nm,GPU,2004-12-12,90.0,4.0,,,133.0,Sony,Other,,,
AMD Radeon R4 Mobile Graphics,GPU,2016-06-01,28.0,15.0,125.0,1200.0,200.0,GF,AMD,251.5,251.5,15.72
AMD Radeon R5 Graphics,GPU,2014-09-17,28.0,15.0,245.0,2410.0,497.0,GF,AMD,,254.5,15.9
NVIDIA Quadro M4000,GPU,2015-06-29,28.0,120.0,398.0,5200.0,773.0,TSMC,NVIDIA,,2573.0,80.39
NVIDIA GeForce GTX 1050 Ti,GPU,2016-10-25,14.0,75.0,132.0,3300.0,1291.0,Samsung,NVIDIA,33.41,2138.0,66.82
NVIDIA GeForce MX350,GPU,2020-02-10,14.0,20.0,132.0,3300.0,747.0,Samsung,NVIDIA,18.74,1199.0,37.48
NVIDIA Quadro4 700 Go GL,GPU,2003-06-05,150.0,,101.0,36.0,199.0,TSMC,NVIDIA,,,
ATI FireGL V7600,GPU,2007-11-06,80.0,127.0,420.0,720.0,600.0,TSMC,ATI,,384.0,
Intel Xeon Phi 7120X,GPU,2013-06-17,22.0,300.0,350.0,5000.0,1238.0,Intel,Intel,,650.5,
NVIDIA Quadro NVS 160M,GPU,2008-08-15,65.0,12.0,86.0,210.0,580.0,TSMC,NVIDIA,,23.2,
NVIDIA GeForce GTS 150M,GPU,2009-03-03,65.0,45.0,240.0,505.0,400.0,TSMC,NVIDIA,,128.0,
XGI Volari V8,GPU,2003-09-15,130.0,,,110.0,300.0,UMC,Other,,,
NVIDIA Quadro M5000,GPU,2015-06-29,28.0,150.0,398.0,5200.0,861.0,TSMC,NVIDIA,,4252.0,132.9
ATI Radeon HD 3750,GPU,2008-09-11,55.0,65.0,135.0,378.0,796.0,TSMC,ATI,,191.0,
AMD Radeon R5 A230,GPU,2014-01-07,28.0,,56.0,690.0,780.0,TSMC,AMD,,547.2,34.2
NVIDIA GeForce 9200,GPU,2007-04-17,65.0,40.0,144.0,314.0,450.0,Unknown,NVIDIA,,35.2,
AMD Radeon HD 7450M,GPU,2012-01-07,40.0,7.0,67.0,370.0,700.0,TSMC,AMD,,224.0,
NVIDIA Quadro FX 3800M,GPU,2008-08-14,65.0,100.0,324.0,754.0,675.0,TSMC,NVIDIA,,422.4,
NVIDIA Jetson AGX Xavier GPU,GPU,,12.0,30.0,350.0,9000.0,854.0,TSMC,NVIDIA,2820.0,1410.0,705.0
Intel GMA X3100,GPU,2007-05-09,90.0,13.0,,,500.0,Intel,Intel,,,
Intel UHD Graphics P630,GPU,2020-05-13,14.0,15.0,,,350.0,Intel,Intel,921.6,460.8,115.2
AMD Radeon R3 Mobile Graphics,GPU,2015-01-28,28.0,15.0,107.0,930.0,600.0,GF,AMD,,153.6,9.6
NVIDIA Quadro4 550 XGL,GPU,2002-02-19,150.0,,65.0,29.0,270.0,TSMC,NVIDIA,,,
